,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GWAScatalog,Mean platelet volume,171,58,1.1394498649394004e-48,2.068101504865012e-45,TESK2:PEAR1:TAGLN2:GCSAML:ODF3:PSMD13:STIM1:ARAP1:BAZ2A:PTGES3:TMEM120B:RHOF:GRTP1:SAV1:ACTN1:DCAF5:RCOR1:EXOC3L4:BRF1:TPM1:SEC14L5:PLCG2:GP1BA:SPAG7:SLFN14:AP2B1:ITGA2B:DOK6:CD226:RTTN:TPM4:RAB8A:FXYD5:PVR:EXOC3L2:GP6:EHD3:RALB:ANKMY1:RNPEPL1:SIRPD:SIRPB1:SIRPA:NELFCD:TUBB1:A4GALT:BRD1:WDR49:KIAA0232:SLC12A7:ELOVL7:IQGAP2:F2R:TBCA:RNF145:DDO:CAPZA2:ZFPM2,,4.756633461189528e-44
1,GWAScatalog,Platelet distribution width,111,43,2.7851686794443327e-38,2.5275405765957317e-35,TESK2:DOCK7:PEAR1:TAGLN2:GCSAML:STIM1:TUBA1C:ATP5B:TMEM120B:RHOF:GRTP1:ATG14:ACTN1:EXOC3L4:BRF1:TPM1:RAB11FIP3:SEC14L5:PLCG2:GP1BA:SLFN14:AP2B1:ITGA2B:PPP4R1:CD226:RTTN:TPM4:FXYD5:GP6:EHD3:NCK2:RNPEPL1:SIRPD:NELFCD:TUBB1:A4GALT:ANKRD28:SLC12A7:IQGAP2:F2R:DDO:CAPZA2:ZFPM2,,5.813343326170183e-34
2,GWAScatalog,Platelet count,225,47,3.98749346423795e-28,2.4124335458639603e-25,TESK2:TPM3:PEAR1:GCSAML:ODF3:SIRT3:PSMD13:FEN1:BAZ2A:PTGES3:TMEM120B:RHOF:GRTP1:ACTN1:RCOR1:EXOC3L4:BRF1:TPM1:PLEKHO2:RAB11FIP3:GP1BA:SLFN12L:SLFN14:AP2B1:ITGA2B:TPM4:FXYD5:SPINT2:EXOC3L2:EHD3:RALB:RNPEPL1:SIRPA:TUBB1:EWSR1:ABHD6:ZMAT3:ABCC5:KIAA0232:IQGAP2:F2R:RNF145:FABP6:DDO:CCDC71L:CAPZA2:ZFPM2,,5.548597155487109e-24
3,GWAScatalog,Alzheimer's disease or HDL levels (pleiotropy),36,9,8.922119398089729e-07,0.0004048411676883,IGSF23:PVR:GEMIN7:NKPD1:EXOC3L2:CKM:KLC3:ERCC2:PPP1R13L,,0.0093113468568309
4,GWAScatalog,Plateletcrit,140,16,4.5414345738387255e-06,0.0016485407503034,TESK2:GCSAML:PRIM1:TMEM120B:RHOF:RCOR1:EXOC3L4:SLFN14:CD226:TPM4:EHD3:SIRPD:TUBB1:SNX24:CAPZA2:ZFPM2,,0.0379164372569782
8,Positional_gene_sets,chr1q23,29,9,1.1409303697540329e-07,3.411381805564559e-05,PEAR1:LRRC71:ARHGEF11:TAGLN2:PFDN2:DEDD:UFC1:PPOX:B4GALT3,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1q23,0.0007846178152798484
15,Reactome,REACTOME_HEMOSTASIS,193,20,1.282968988018141e-06,0.0019231705130391,DOCK7:TAGLN2:STIM1:TUBA1C:ORAI1:ACTN1:RCOR1:PLCG2:GP1BA:ITGA2B:KLC3:GP6:EHD3:GPC1:SIRPA:TUBB1:ABHD6:F2R:CAPZA2:ZFPM2,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS,0.0442329217998993
