,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
16,Positional_gene_sets,chr7q35,8,7,2.8698496333931784e-08,8.580850403845603e-06,FAM115A:OR2F2:OR6B1:OR2A5:OR2A25:OR2A12:OR2A14,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr7q35,0.00019735955928844887
17,Positional_gene_sets,chr1p13,34,12,5.120764156663964e-07,7.655542414212626e-05,KIAA1324:SARS:GPR61:GNAT2:MAGI3:PHTF1:RSBN1:PTPN22:BCL2L15:AP4B1:HIPK1:OLFML3,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1p13,0.001760774755268904
