"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0009890",0.0144733836983419,0.294664634146341,8.97289156626506,3,331,"negative regulation of biosynthetic process"
"2","GO:0009892",0.0149418367165229,0.455170517051705,16.671686746988,9,615,"negative regulation of metabolic process"
"3","GO:0010629",0.0157479924370807,0.374582212439879,11.6024096385542,5,428,"negative regulation of gene expression"
"4","GO:0031327",0.0177051252322727,0.304388714733542,8.7289156626506,3,322,"negative regulation of cellular biosynthetic process"
"5","GO:0010558",0.0220707114151286,0.315857605177994,8.45783132530121,3,312,"negative regulation of macromolecule biosynthetic process"
"6","GO:2000113",0.0256940881883218,0.324337748344371,8.26807228915663,3,305,"negative regulation of cellular macromolecule biosynthetic process"
"7","GO:0032270",0.0304105091633988,0.379107575233483,9.4066265060241,4,347,"positive regulation of cellular protein metabolic process"
"8","GO:0010605",0.0312379631867244,0.500294985250737,15.5602409638554,9,574,"negative regulation of macromolecule metabolic process"
"9","GO:0032268",0.0319367182903419,0.485779096143779,14.3403614457831,8,529,"regulation of cellular protein metabolic process"
"10","GO:0033043",0.0353574739417889,0.34390243902439,7.86144578313253,3,290,"regulation of organelle organization"
"11","GO:0031401",0.0400713723451158,0.352313167259786,7.69879518072289,3,284,"positive regulation of protein modification process"
"12","GO:0051246",0.0409306047893597,0.5197328476017,15.1265060240964,9,558,"regulation of protein metabolic process"
"13","GO:0090066",0.0426344673008985,0,3.03614457831325,0,112,"regulation of anatomical structure size"
"14","GO:0016049",0.0464913829182836,0,2.95481927710843,0,109,"cell growth"
"15","GO:1901137",0.0464913829182836,0,2.95481927710843,0,109,"carbohydrate derivative biosynthetic process"
"16","GO:0006508",0.0472379296547584,0.364102564102564,7.48192771084337,3,276,"proteolysis"
"17","GO:0070647",0.0477492997087279,0.199656422981485,4.60843373493976,1,170,"protein modification by small protein conjugation or removal"
"18","GO:1901987",0.0478517903144062,0,2.92771084337349,0,108,"regulation of cell cycle phase transition"
